;Мужчины и женщины город;Мужчины город;Женщины город;Мужчины и женщины село;Мужчины село;Женщины село
90 лет;0,783945;0,793017;0,782116;0,789684;0,794134;0,788994
91 лет;0,78224;0,790828;0,78059;0,78323;0,798567;0,780728
92 лет;0,769496;0,783542;0,76666;0,763648;0,775613;0,76186
93 лет;0,734627;0,769509;0,726871;0,726678;0,730034;0,72633
94 лет;0,709748;0,746595;0,701559;0,701796;0,70772;0,701127
95 лет;0,690237;0,752372;0,675568;0,668497;0,726806;0,659819
96 лет;0,708804;0,792942;0,686428;0,655998;0,722879;0,645126
97 лет;0,720337;0,803084;0,698637;0,644976;0,735672;0,629662
98 лет;0,751889;0,843564;0,727752;0,661151;0,749172;0,643779
99 лет;0,742974;0,830041;0,717917;0,651654;0,765899;0,631389
100 и более;0;0;0;0;0;0
